Upland gravels, Correlations, So. Maryland - N=63
John Schlee, 1957, GSA Bulletin, v. 68, p. 1371-1410 - various figs.
GrvlModePhi  Qtzite  Chert  Azimuth
.37          33      19     192
.35          38      21     200
.37          33      19     249  
.33          33      23     207 
.60          33      10     164
.60          36       3     173  
.35          21      23     178
.34          24      21     172
.41          25      24     130
.50          28      13     260
.57          37       6     258
.40          24      29     265
.35          22      27     208
.36          22      16     148
.44          23      18     123
.45          27      20     136 
.45          29      19     143
.44          27      16     119
.47          27      10     140 
.55          31      11     237
.33          16      33     132
.33          18      32     123
.34          16      21     110
.36          15      22     111
.38          21      25     165
.39          27      20     108
.39          26      16      84
.38          25      16     131
.40          27      16     191
.35          28      20     137     
.30          13      34      94
.30          15      36      72
.30          15      33     116
.34          14      27     127
.33          16      29     144
.30          17      30      82
.31          22      16      51 
.33          23      17     120
.35          24      18     132
.30          28      17      72
.27          28      14      71
.25          11      39      98
.25          14      38     105
.23          15      37     119
.24          15      32     125
.28          17      30     120
.30          23      16     149
.20          22      20      68
.20          22      20      75
.25          11      39     110
.23          12      38      80
.22          14      38     105
.30          14      24     102
.30          19      32      75
.20          12      36     105
.20          12      36     116
.30          14      33     115
.30          17      29      85
.30          19      27      71
.27          20      24      98
.30          21      23      97
.30          24      21      68
.30          26      15     105
